"date","open","high","low","close","volume"
"3-Mar-16",137.22,137.96,136.07,137.8,5156429
"2-Mar-16",133.7,137.44,133.22,136.3,5168887
"1-Mar-16",132.24,134.64,132.03,134.37,3786328
"29-Feb-16",132,133.36,130.9,131.03,4376341
"26-Feb-16",134.51,134.92,131.95,132.03,4383322
"25-Feb-16",133.29,134.51,130.88,134.5,4354669
"24-Feb-16",131.55,133.49,129.68,132.8,4087400
"23-Feb-16",133.14,133.41,132.01,132.4,3372962
"22-Feb-16",133.84,134.31,132.41,133.77,4441519
"19-Feb-16",132.36,133.65,130.84,133.08,5117316
"18-Feb-16",130,134,129.75,132.45,9925974
"17-Feb-16",123.71,126.57,123.25,126.1,4814894
"16-Feb-16",121.83,123.09,121.34,122.74,4027818
"12-Feb-16",119.26,121.05,118.35,121.04,4921506
"11-Feb-16",118.78,119.66,116.9,117.85,7236058
"10-Feb-16",125,125.29,119.84,120.19,6436823
"9-Feb-16",126.12,126.93,123.77,124.07,5923690
"8-Feb-16",126,127.51,124.13,126.98,7255939
"5-Feb-16",127.22,128.64,125.85,128.57,7155806
"4-Feb-16",125.08,128.5,125,127.65,5240258
"3-Feb-16",123.99,125.45,122.45,124.72,6222759
"2-Feb-16",123.67,124.14,122.64,122.94,3279196
"1-Feb-16",124.4,125.29,123.71,124.83,3570810
"29-Jan-16",123.28,124.79,122.96,124.79,8208826
"28-Jan-16",121.26,122.83,121.01,122.22,3942349
"27-Jan-16",122.73,123.37,120.65,120.96,4999341
"26-Jan-16",122.25,123.61,122.24,122.59,4613756
"25-Jan-16",122.1,124.23,121.64,122.08,5427835
"22-Jan-16",124.67,124.74,121.77,122.5,9237033
"21-Jan-16",121.3,125.1,120.58,122.91,8845201
"20-Jan-16",118.46,123.99,118,121.86,16133787
"19-Jan-16",130.11,132.1,128.06,128.11,9703914
"15-Jan-16",130.01,130.88,128.87,130.03,8942710
"14-Jan-16",131.93,133.79,131.22,132.91,5708301
"13-Jan-16",133.5,134.28,131.1,131.17,4675089
"12-Jan-16",133.65,133.78,131.13,132.9,5078678
"11-Jan-16",131.81,133.82,131.76,133.23,4974436
"8-Jan-16",133.18,133.82,131.32,131.63,4762706
"7-Jan-16",133.7,135.02,132.43,132.86,7025760
"6-Jan-16",134.38,135.58,133.62,135.17,4310939
"5-Jan-16",136.76,136.89,134.85,135.85,3924793
"4-Jan-16",135.6,135.97,134.24,135.95,5208900
"31-Dec-15",139.07,139.1,137.57,137.62,3462077
"30-Dec-15",139.58,140.44,139.22,139.34,2989367
"29-Dec-15",138.25,140.06,138.2,139.78,3943691
"28-Dec-15",137.74,138.04,136.54,137.61,3143412
"24-Dec-15",138.43,138.88,138.11,138.25,1495226
"23-Dec-15",138.3,139.3,138.11,138.54,5164916
"22-Dec-15",135.88,138.19,135.65,137.93,4263828
"21-Dec-15",135.83,135.83,134.02,135.5,5617475
"18-Dec-15",136.41,136.96,134.27,134.9,10026106
"17-Dec-15",139.35,139.5,136.31,136.75,4089539
"16-Dec-15",139.12,139.65,137.79,139.29,4345474
"15-Dec-15",137.4,138.97,137.28,137.79,4238546
"14-Dec-15",135.31,136.14,134.02,135.93,5116906
"11-Dec-15",135.23,135.44,133.91,134.57,5333767
"10-Dec-15",137.03,137.85,135.72,136.78,4222329
"9-Dec-15",137.38,139.84,136.23,136.61,4614993
"8-Dec-15",138.28,139.06,137.53,138.05,3905155
"7-Dec-15",140.16,140.41,138.81,139.55,3279376
"4-Dec-15",138.09,141.02,137.99,140.43,4571608
"3-Dec-15",140.1,140.73,138.19,138.92,5909588
"2-Dec-15",140.93,141.21,139.5,139.7,3725363
"1-Dec-15",139.58,141.4,139.58,141.28,4195119
"30-Nov-15",138.61,139.9,138.52,139.42,4545587
"27-Nov-15",138,138.81,137.21,138.46,1415840
"25-Nov-15",138.37,138.43,137.38,138,3238166
"24-Nov-15",137.65,139.34,137.31,138.6,3407653
"23-Nov-15",138.53,138.87,137.12,138.46,5137922
"20-Nov-15",137.37,138.92,137.25,138.5,5176375
"19-Nov-15",136.21,137.74,136.01,136.74,4753603
"18-Nov-15",134.79,135.91,134.26,135.82,4149181
"17-Nov-15",134.22,134.82,133.31,133.82,2815142
"16-Nov-15",131.79,134.09,131.79,133.71,4190827
"13-Nov-15",132.95,133,131.65,131.75,4613817
"12-Nov-15",134.7,134.7,133.01,133.04,4701365
"11-Nov-15",136.09,136.2,134.5,135.02,3164806
"10-Nov-15",135.36,135.74,134.12,135.47,4520807
"9-Nov-15",137.92,138.08,134.88,135.31,8075593
"6-Nov-15",138.6,139.55,137.87,138.25,4744948
"5-Nov-15",141.61,142.38,139.63,139.89,5096893
"4-Nov-15",142.55,142.65,141.3,141.63,3516890
"3-Nov-15",140.02,142.8,139.9,141.88,4349405
"2-Nov-15",140.5,140.52,139.57,140.37,3822212
"30-Oct-15",140.44,141.33,139.9,140.08,3983990
"29-Oct-15",140.36,140.82,139.02,140.55,3710445
"28-Oct-15",137.92,141.23,137.5,140.83,8511376
"27-Oct-15",143.51,143.83,137.33,137.86,15008527
"26-Oct-15",144.75,145,143.21,143.66,3489428
"23-Oct-15",144.61,145.49,143.7,144.68,5370439
